Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
301,Gabe Vincent,29,2TM,PG,30,7,578,5.6,.497,.787,.081,1.7,3.9,2.8,8.9,1.4,0.2,7.9,11.5,0.1,0.2,0.3,.022,-3.9,-0.9,-4.8,-0.4,,vincega01
301,Gabe Vincent,29,LAL,PG,29,7,559,5.5,.512,.792,.085,1.5,4.1,2.8,8.4,1.2,0.2,8.2,11.4,0.1,0.2,0.3,.023,-3.9,-1.1,-5.0,-0.4,,vincega01
301,Gabe Vincent,29,ATL,PG,1,0,19,8.7,.167,.667,.000,5.6,0.0,2.8,24.9,7.4,0.0,0.0,13.2,0.0,0.0,0.0,-0.011,-5.2,4.2,-1.0,0.0,,vincega01
302,Rayan Rupert,21,POR,SG,48,0,577,5.8,.447,.483,.095,4.2,12.0,8.1,7.8,2.4,0.3,15.5,12.7,-0.5,0.5,0.1,.005,-5.7,0.6,-5.1,-0.5,,ruperra01
303,Christian Braun,24,DEN,SG,19,19,576,10.8,.558,.293,.293,6.0,9.9,8.1,12.1,0.9,1.1,11.5,14.6,0.6,0.2,0.8,.066,-1.5,-1.5,-3.0,-0.1,,braunch01
304,Ja Morant,26,MEM,PG,20,20,569,16.7,.521,.264,.363,1.5,10.7,6.1,44.8,1.7,1.0,16.0,32.4,0.1,0.5,0.5,.043,0.4,-1.9,-1.5,0.1,,moranja01
305,Domantas Sabonis,29,SAC,C,19,15,564,19.3,.590,.122,.348,12.3,31.1,21.4,21.8,1.5,0.6,16.7,23.1,0.7,0.5,1.2,.098,0.6,-0.2,0.5,0.4,,sabondo01
306,Clint Capela,31,HOU,C,47,1,556,19.0,.538,.000,.264,20.0,22.1,21.1,6.3,2.2,6.1,10.6,13.5,0.9,1.1,2.0,.172,0.2,0.7,0.9,0.4,,capelca01
307,Karlo Matković,24,NOP,PF,43,2,556,15.6,.681,.363,.116,6.7,20.0,13.2,8.1,1.3,5.2,11.5,13.0,0.9,0.5,1.4,.124,-0.1,0.5,0.3,0.3,,matkoka01
308,Gary Harris,31,MIL,SG,38,2,553,7.3,.603,.635,.122,2.7,8.2,5.5,9.3,1.9,1.1,17.0,7.5,0.3,0.4,0.7,.059,-3.6,0.8,-2.8,-0.1,,harriga01
309,Jakob Poeltl,30,TOR,C,22,22,551,16.2,.685,.000,.366,11.8,22.4,17.0,11.6,1.4,2.0,17.9,14.7,0.9,0.8,1.7,.150,-0.8,1.0,0.2,0.3,,poeltja01
310,Derrick Jones Jr.,28,LAC,SF,22,17,546,14.6,.661,.473,.270,3.8,8.1,6.0,7.4,1.7,4.2,9.3,14.9,0.9,0.4,1.4,.120,0.5,0.3,0.8,0.4,,jonesde02
311,Tre Mann,24,CHO,PG,34,1,544,8.7,.470,.522,.084,4.3,11.7,8.1,19.8,1.5,0.7,14.8,23.5,-0.5,0.5,-0.1,-0.007,-3.6,-1.2,-4.8,-0.4,,manntr01
312,Jabari Walker,23,PHI,PF,45,6,543,10.3,.505,.438,.306,10.2,18.1,14.1,5.2,1.4,1.9,9.4,14.1,0.3,0.6,0.9,.076,-3.6,-0.7,-4.3,-0.3,,walkeja01
313,Dwight Powell,34,DAL,C,40,7,541,11.8,.661,.034,1.051,10.6,16.9,13.9,8.8,1.8,1.8,18.8,8.3,0.8,0.7,1.5,.137,-3.1,1.8,-1.3,0.1,,poweldw01
314,Trendon Watford,25,PHI,PF,32,5,530,12.9,.572,.187,.277,5.3,17.9,11.5,22.9,0.8,1.7,17.1,16.8,0.5,0.5,1.0,.087,-1.7,0.2,-1.5,0.1,,watfotr01
315,Cole Anthony,25,MIL,PG,35,0,527,10.8,.483,.312,.113,3.5,15.0,9.3,34.3,1.9,2.1,21.1,25.8,-0.9,0.5,-0.4,-0.034,-3.8,-0.8,-4.6,-0.3,,anthoco01
316,Josh Minott,23,BOS,PF,33,10,526,15.7,.651,.566,.191,8.4,16.2,12.3,8.3,2.3,2.3,11.9,13.7,1.1,0.8,1.8,.169,0.9,1.1,2.0,0.5,,minotjo01
317,Noah Penda,21,ORL,SF,38,2,519,13.2,.538,.422,.253,11.8,18.6,15.1,11.8,1.9,2.4,15.8,16.5,0.2,0.7,0.9,.083,-1.2,0.2,-1.1,0.1,,pendano01
318,Jalen Wilson,25,BRK,PF,35,0,513,7.4,.516,.611,.284,1.5,11.4,6.2,6.4,1.4,0.4,9.4,17.1,-0.2,0.2,0.0,.005,-4.2,-1.9,-6.1,-0.5,,wilsoja03
319,John Konchar,29,2TM,SG,34,1,513,12.3,.564,.547,.186,5.5,16.9,11.2,11.9,3.3,3.1,13.9,8.7,0.4,0.8,1.2,.109,-1.8,3.4,1.7,0.5,,konchjo01
319,John Konchar,29,MEM,SG,30,1,435,12.9,.619,.549,.183,4.9,17.7,11.3,11.8,3.4,2.8,15.4,8.6,0.4,0.7,1.1,.124,-1.3,3.8,2.4,0.5,,konchjo01
319,John Konchar,29,UTA,SG,4,0,78,8.8,.306,.533,.200,8.3,12.7,10.5,12.5,3.0,5.0,5.8,9.2,0.0,0.1,0.0,.024,-4.2,1.6,-2.6,0.0,,konchjo01
320,Tidjane Salaün,20,CHO,PF,32,0,512,13.4,.640,.500,.239,5.4,24.7,15.3,7.2,1.2,1.2,13.3,14.9,0.6,0.6,1.2,.115,-0.9,0.3,-0.6,0.2,,salauti01
321,Zeke Nnaji,25,DEN,PF,39,2,500,11.7,.583,.325,.325,7.0,17.1,12.3,5.5,1.3,3.7,13.0,14.2,0.4,0.5,0.8,.080,-2.9,-0.5,-3.4,-0.2,,nnajize01
322,Josh Green,25,CHO,SG,31,0,500,10.3,.644,.721,.154,6.5,7.0,6.8,8.3,1.8,0.5,14.6,10.9,0.7,0.4,1.0,.099,-1.2,0.6,-0.6,0.2,,greenjo02
323,Kevin Love,37,UTA,PF,29,5,500,14.3,.563,.693,.227,10.4,27.0,18.6,13.5,0.8,1.6,11.8,16.8,0.6,0.2,0.9,.083,0.7,-1.3,-0.6,0.2,,loveke01
324,Jordan Hawkins,23,NOP,SG,36,0,498,5.4,.434,.558,.105,3.0,10.6,6.7,7.2,0.8,1.4,10.9,17.0,-0.7,0.1,-0.6,-0.059,-4.3,-3.0,-7.4,-0.7,,hawkijo01
325,D'Angelo Russell,29,DAL,PG,26,3,495,12.4,.511,.483,.259,1.8,11.0,6.5,30.9,1.1,0.3,15.9,26.1,-0.3,0.4,0.1,.005,-0.7,-1.5,-2.2,0.0,,russeda01
326,Kasparas Jakučionis,19,MIA,PG,29,8,494,10.7,.583,.641,.211,4.9,9.6,7.2,17.8,1.8,0.4,16.2,13.7,0.5,0.5,1.1,.103,-1.9,1.0,-0.9,0.1,,jakucka01
327,Jamir Watkins,24,WAS,SG,27,4,492,8.7,.498,.533,.275,5.5,15.2,10.3,5.9,2.0,2.5,10.6,12.7,0.0,0.3,0.2,.023,-5.2,-0.6,-5.8,-0.5,,watkija01
328,Dalton Knecht,24,LAL,SF,43,1,490,9.3,.548,.576,.118,3.2,12.1,7.8,4.3,0.9,1.7,9.6,17.5,0.0,0.3,0.2,.022,-2.6,-1.9,-4.5,-0.3,,knechda01
329,Paul Reed,26,DET,C,38,7,486,21.9,.626,.152,.275,16.2,20.5,18.4,14.5,3.5,5.1,16.2,19.4,0.9,1.2,2.1,.205,1.4,3.0,4.4,0.8,,reedpa01
330,Jonathan Kuminga,23,GSW,PF,20,13,476,12.5,.543,.273,.340,6.7,20.6,13.6,15.8,0.8,1.1,17.1,23.9,-0.2,0.5,0.3,.030,-2.5,-1.1,-3.6,-0.2,,kuminjo01
331,Guerschon Yabusele,30,2TM,C,45,3,473,9.1,.509,.630,.096,6.6,17.5,12.0,6.7,1.0,1.4,10.6,15.2,0.0,0.5,0.5,.052,-2.8,-1.0,-3.8,-0.2,,yabusgu01
331,Guerschon Yabusele,30,NYK,C,41,0,366,8.6,.499,.636,.112,7.1,19.2,13.0,6.4,0.8,1.4,11.8,14.7,0.0,0.4,0.4,.053,-3.1,-0.7,-3.8,-0.2,,yabusgu01
331,Guerschon Yabusele,30,CHI,C,4,3,107,10.9,.539,.615,.051,5.1,11.9,8.5,7.6,1.8,1.6,7.0,16.9,0.0,0.1,0.1,.047,-1.9,-2.1,-4.0,-0.1,,yabusgu01
332,Kyle Anderson,32,2TM,SF,23,3,472,14.3,.591,.040,.347,5.0,13.2,9.1,18.6,2.8,2.9,13.9,14.5,0.6,0.3,0.9,.091,-1.3,0.8,-0.5,0.2,,anderky01
332,Kyle Anderson,32,UTA,SF,20,0,401,14.3,.565,.046,.349,5.1,12.9,9.0,20.8,2.7,2.4,11.9,14.7,0.5,0.2,0.7,.089,-1.0,0.6,-0.3,0.2,,anderky01
332,Kyle Anderson,32,MEM,SF,3,3,71,14.5,.785,.000,.333,4.5,15.0,9.8,6.1,3.3,5.3,25.9,13.5,0.0,0.1,0.2,.103,-3.4,1.9,-1.5,0.0,,anderky01
333,Jase Richardson,20,ORL,SG,39,0,471,11.4,.578,.432,.239,4.4,7.9,6.1,14.1,1.1,0.4,11.4,17.3,0.4,0.3,0.7,.074,-1.7,-1.4,-3.1,-0.1,,richaja02
334,Aaron Holiday,29,HOU,PG,35,1,465,10.5,.570,.671,.205,1.4,5.7,3.5,10.0,1.7,0.8,10.7,17.7,0.5,0.4,0.9,.097,-1.9,-0.2,-2.1,0.0,,holidaa01
335,Keaton Wallace,26,ATL,PG,40,2,446,11.3,.547,.618,.081,0.7,10.6,5.6,23.3,2.2,1.0,13.5,15.3,0.2,0.4,0.6,.070,-2.1,0.3,-1.8,0.0,,wallake01
336,Jaden Hardy,23,2TM,SG,35,4,443,11.0,.556,.642,.209,2.7,8.8,5.8,9.9,1.0,0.4,11.3,23.5,-0.1,0.3,0.2,.024,-1.7,-1.8,-3.5,-0.2,,hardyja02
